Item,Title,Price,Image_link,Purchase_link
Samsung,Samsung Galaxy J2 Prime,"11,990",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxi-i2-p/j2-5-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-j2-prime
Samsung,Samsung Galaxy J2 4G,"9,990",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/galaxy-j2-4g/4-228x228.jpg,https://www.buymobile.com.bd/samsung-galaxy-j2-4g
Samsung,Samsung Metro 350,"3,350",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/metro-350/350-11-228x228.jpg,https://www.buymobile.com.bd/samsung-metro-350
Samsung,Samsung Metro 313,"2,590",https://www.buymobile.com.bd/image/cache/catalog/samsung/mobile/metro-313/sam6-228x228.jpg,https://www.buymobile.com.bd/samsung-metro-313
Apple,Apple iPhone X 64GB,"130,990",https://www.buymobile.com.bd/image/cache/catalog/apple/iphonex-64gb/b1-228x228.jpg,https://www.buymobile.com.bd/iphone-x-64gb
Apple,Apple iPhone X 256GB,"150,500",https://www.buymobile.com.bd/image/cache/catalog/apple/iphonex-256gb/b11-228x228.jpg,https://www.buymobile.com.bd/iphone-x-256gb
Xiaomi,Xiaomi Mi A1(4/32GB),"13,000",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/mi%20a1/bm2-228x228.jpg,https://www.buymobile.com.bd/xiaomi-mi-a1-4-32
Maximus,Maximus IX Ultra,"5,500",https://www.buymobile.com.bd/image/cache/catalog/maximus/ix-ultra/b11-228x228.jpg,https://www.buymobile.com.bd/maximus-ix-ultra
WE,WE T1,"4,444",https://www.buymobile.com.bd/image/cache/catalog/we%20mobile/we-t1/b-228x228.jpg,https://www.buymobile.com.bd/we-t1
Xiaomi,Xiaomi Redmi 5(3GB),"15,990",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-5/b2-228x228.jpg,https://www.buymobile.com.bd/xiaomi-redmi-5-plus-3gb
Xiaomi,Xiaomi Redmi 5 Plus,"17,990",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-5-plus/b1-228x228.jpg,https://www.buymobile.com.bd/xiaomi-redmi-5-plus
Xiaomi,Xiaomi Redmi 5 (2/16 GB),"10,990",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-5/b2-228x228.jpg,https://www.buymobile.com.bd/xiaomi-redmi-5
Xiaomi,Xiaomi Mi A1 Red Edition(4/64GB),"23,490",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/mi-a1-red/c1-228x228.jpg,https://www.buymobile.com.bd/xiaomi-mi-a1-red-edition
Maximus,Maximus Max 8,"4,500",https://www.buymobile.com.bd/image/cache/catalog/maximus/max-8/d1-228x228.jpg,https://www.buymobile.com.bd/maximus-max8
Maximus,Maximus S7,"1,110",https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-s7/c1-228x228.jpg,https://www.buymobile.com.bd/maximus-s7
Maximus,Maximus M20,950,https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-m20/c2-228x228.jpg,https://www.buymobile.com.bd/maximus-m20
Maximus,Maximus M17,"1,120",https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-a17/b2-228x228.jpg,https://www.buymobile.com.bd/maximus-m17
Maximus,Maximus M16,"1,110",https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-m16/b3-228x228.jpg,https://www.buymobile.com.bd/maximus-m16
Maximus,Maximus M8,900,https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-m8/c3-228x228.jpg,https://www.buymobile.com.bd/maximus-m8
Maximus,Maximus A13,750,https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-a13/b11-228x228.jpg,https://www.buymobile.com.bd/maximus-a13
Maximus,Maximus A12,720,https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-a12/b2-228x228.jpg,https://www.buymobile.com.bd/maximus-a12
Maximus,Maximus A11,720,https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-a11/b11-228x228.jpg,https://www.buymobile.com.bd/maximus-a11
Maximus,Maximus Max 7,"4,350",https://www.buymobile.com.bd/image/cache/catalog/maximus/max-7/m1-228x228.jpg,https://www.buymobile.com.bd/maximus-max-7
Maximus,Maximus Max 5,"3,999",https://www.buymobile.com.bd/image/cache/catalog/maximus/max-5/d1-228x228.jpg,https://www.buymobile.com.bd/maximus-max-5
Lava,Lava Z60,"8,390",https://www.buymobile.com.bd/image/cache/catalog/lava/lava-z60/b3-228x228.jpg,https://www.buymobile.com.bd/lava-z60
LAVA,LAVA Iris 60,"6,990",https://www.buymobile.com.bd/image/cache/catalog/lava/iris-60/b2-228x228.jpg,https://www.buymobile.com.bd/lava-iris-60
LAVA,LAVA Iris 41,"4,990",https://www.buymobile.com.bd/image/cache/catalog/lava/iris-41/b1-228x228.jpg,https://www.buymobile.com.bd/lava-iris-41
LAVA,LAVA Iris 50 2GB,"6,500",https://www.buymobile.com.bd/image/cache/catalog/lava/iris%2050/bm1-228x228.jpg,https://www.buymobile.com.bd/lava-iris-50-2gb
DCL,DCL D10 Shine,"1,000",https://www.buymobile.com.bd/image/cache/catalog/DCL/d10-shine/b4-228x228.jpg,https://www.buymobile.com.bd/dcl-d10-shine
Lenovo,Lenovo Yoga Tablet 3,"23,999",https://www.buymobile.com.bd/image/cache/catalog/lenovo/lenovo-tab/b5-228x228.jpg,https://www.buymobile.com.bd/lenovo-yoga-tablet-3
Lenovo,Lenovo Yoga Book,"64,000",https://www.buymobile.com.bd/image/cache/catalog/lenovo/lenovo-tab/b4-228x228.jpg,https://www.buymobile.com.bd/lenovo-yoga-book
Lenovo,Lenovo Tab3 10 Plus 4G,"22,999",https://www.buymobile.com.bd/image/cache/catalog/lenovo/lenovo-tab/b3-228x228.jpg,https://www.buymobile.com.bd/lenovo-tab-3-10plus-4g
Lenovo,Lenovo Tab 37 4G,"13,999",https://www.buymobile.com.bd/image/cache/catalog/lenovo/lenovo-tab/b2-228x228.jpg,https://www.buymobile.com.bd/lenovo-tab-37-4g
Lenovo,Lenovo Tab3 7 ESS,"9,990",https://www.buymobile.com.bd/image/cache/catalog/lenovo/lenovo-tab/b1-228x228.jpg,https://www.buymobile.com.bd/lenovo-tab-3-7-ess-blk
